rating,review,phone,source
5 out of 5 stars.,"I swapped from iPhone to the s9 because it was cheaper & I do not regret it one bit!! I love it
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
4 out of 5 stars.,"Had the S7 before and this is a lot quicker Best now weres the S10
Originally posted on samsung.com",galaxy,Very.co.uk
4 out of 5 stars.,"Having had an S3, S5, and S7, the progression to an S9 was natural. Love the clear screen and the feel of the phone is good too. Apps are great. The only annoyance was the change in size of charging socket. Also no themes for text messages.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Moved from Apple to Samsung. Best choice I've ever made.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"got this a couple days ago, never been happier, Good features, excellent design
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I have been a Samsung user for a number of years. The Samsung S9 has brilliant features, easy to use, Iris or finger print ID for the phone and apps. I love it.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I bought this phone last week and I'm just in love with it as there are obvious upgrades from the previous s8 I had. The structure is easy, everything feels lighter and it is very adaptable. Oh, I also love the camera!
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
4 out of 5 stars.,"good phone, good features but worse reception than iphone
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I bought this at the beginning of the month and it's the best thing I bought
Originally posted on samsung.com",galaxy,Very.co.uk
4 out of 5 stars.,"Happy overall with phone but miss one feature from previous Samsung a3 2017. The ability to set alarms to slowly increase in volume instead if starting full volume. Disappointed not included in a flagship phone when it was included in a cheaper range phone
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I bought the phone 10 days ago. Love the bigger screen size and how easy it is to use for a middle aged lady with no real technical bent.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
4 out of 5 stars.,"Enjoying the S9 not had android for a while and to be fair has probably taken a while to get adjusted. Enjoying many of the features miss the double tap at then of a sentence to put full stop in but overall getting on great
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"only had it a couple of weeks but more than happy so far
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Hubby bought this for me asa surprise very happy he did .Lots of new apps
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I've had this phone for a couple of weeks and cant fault it
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I bought this phone a week ago very pleased I recommend it 100 percent
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
2 out of 5 stars.,"I got this phone a week ago and not as good as I thought should have waited for the Samsung s10
✘ No, I do not recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
2 out of 5 stars.,"Had s8 for 2 years even ran it over with a skid steer and still worked for a bit the s9 had for 3 days while life proof case was being delivered was sitting at a table dropped it 4 inches and screen broke needs to be stronger like a plastic screen not glass and camera unless perfectly still is blurry unless it's on pro setting then it's good but overall still a great phone and would recommend it over an iPhone anyday
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
4 out of 5 stars.,"Its great and i like the idea of the double camera
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"This phone is 100%. Samsung is a luxury in it's age.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I got this a week ago yesterday and it is by far the best phone I have ever had. It runs so smoothly and I won't let it leave my side. Thank you so much Samsung.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
4 out of 5 stars.,"The phone is great and easy to use. Camera is fab. Don't like that there's a Bixby button though! Keep pressing it instead of the volume key, rather an unnecessary addition to a phone.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"One of the best phones..ever..very happy with phone
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I have been using this phone for a week and I am still finding new functionality.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Love this phone so much ...and so easy to use , as I'm not very good with tech.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I got this phone this month love it never having iPhone again
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
